Commonwealth of Kentucky Minority and Women Business Enterprise Certification Program,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Purestream, Inc.",2027-03-30 00:00:00,WBE,Manufacturer,"Wastewater treatment systems and solutions, and equipment",Nanci Vesio,Boone Kenton,Walton,KY,859-371-9898,https://www.purestreaminc.com/
"Putman XR Consulting, LLC",2029-04-30 00:00:00,WBE,Consultant,Educational technology and instructional consulting,Shannon Putman,Jefferson,Louisville,KY,315-440-7625,https://putmanxrconsulting.com/
PWC LLC dba Public Works Collaborative,2028-01-30 00:00:00,WBE,Consultant,"Research, strategy, design, evaluation & change management",Kiersten Nash Matsui,Jefferson,Louisville,KY,646-884-4218,www.public-works.co
"R Buckle Industries, LLC dba Taylor County Fence ",2026-10-30 00:00:00,WBE,Contractor,"Perimeter fencing - chain-link, barrier fence, vehicle gates, pedestrian gates, turnstiles, access, CCTS",Catherine R. Spalding ,Taylor,Campbellsville,KY,270-789-1113,
"R.I.W. Ornamental Metal, Inc.",2027-12-30 00:00:00,WBE,Subcontractor,"Fabricate and Install ornamental and decorative rails, glass, cable, stainless steel, bronze and brass",Edina P. Rokvic,Campbell,Wilder,KY,859-655-9300,https://www.riwornamental.com/
"RAD Cube, LLC",2026-08-30 00:00:00,MBE,Professional Services,Technology consulting and product/technology development,Feroz Syed,Hamilton,Carmel,IN,317-516-0549,https://www.radcube.com/
"Radar Plumbing, Inc. ",2028-04-30 00:00:00,MBE,Subcontractor,Plumbing construction contractor,Reyes Zarate,Madison,Richmond,KY,606-312-5944,https://www.radarplumbinginc.com/
Radical 200 Institute LLC,2027-07-30 00:00:00,MBE,Subcontractor,Hemp fiber industrial supply wholesaler,Brad Tilford & Angelia Tilford,Scott,Georgetown,KY,917-848-4089,https://www.radical200institute.com/
"Randi Frank Consulting, LLC ",2027-03-30 00:00:00,WBE,Consultant,"HR Consultant - executive searches, recruitment personnel policies, job descriptions, risk management, compensation studies, etc. ",Randi Frank,Jefferson,Louisville,KY,203-213-3722,https://randifrank.com/
"RDM International, Inc.",2027-03-30 00:00:00,MBE,Professional Services,"Airfield Planning and Design; Airfield Lighting; Pavement Evaluation and Design; Pavement Management; LifeCycle Cost Analyses; GIS, PAVER, Non-Destructive Testing, Constructability Reviews, Value Engineering, Civil Engineering; Electrical Engineering; Airport Planning; Pavement Evaluation and Design; Pavement Maintenance & Management; Construction Management and Support; Investigation & Research",Peter Yip,Loudon,Sterling,VA,703-709-2540,https://www.rdmintlinc.com/
"Realty World TNT, Inc.  ",2028-04-30 00:00:00,WBE,Other ,Residential real estate sales,Melissa Baker,Scott,Georgetown,KY,502-373-6688,https://www.realtyworldtnt.com/
"REBOUND, Inc.",2028-10-30 00:00:00,MWBE,Other ,Housing & Community Development Property Management Developer Consultant Services,Kevin Dunlap,Jefferson,Louisville,KY,502-566-3416,https://www.reboundinc.org/
Red Arrow Corporation,2028-01-30 00:00:00,WBE,Contractor,"Property maintenance, landscaping, lawn care, snow removal, and rough cut mowing",Andrea Bailey,Oldham,Westport,KY,502-208-0864,http://www.redarrowcorp.net/
"Redemption Enterprises, Inc.       ",2027-03-30 00:00:00,WBE,Subcontractor,Dispatch coordination of dump trucks and maintaining equipment for services,Kelly True,Garrard,Lancaster,KY,859-661-1316,"Please provide website address, if applicable"
"Reflective Learning, LLC",2027-08-30 00:00:00,WBE,Consultant,"Educational consulting services, authoring educational resources, speaking on educational topics",Sherry St. Clair,Grayson,Falls of Rough,KY,270-617-0958,https://www.reflecttolearn.com/
Reinvent Health Information Technology LLC dba Reinvent HIT,2028-07-30 00:00:00,MBE,Professional Services,"Software Publishers, Custom Computer Programming Services, Computer Systems Design Services, Computer Facilities Management Services, and Other Computer Related Services",Sudhakar Mohanraj,Fayette,Lexington,KY,502-501-5055,https://reinvent-hit.com/
"Renegade Division, LLC ",2028-09-30 00:00:00,MBE ,Retail,Performance products ,"Ronald N. ""Toby"" Baptise",Warren,Bowling Green,KY,270-791-1141,https://renegaderacefuel.com/
"RepuCare, Inc. ",2026-12-30 00:00:00,WBE,Professional Services,"Healthcare services, Temporary personnel services, Staffing recruiting services",Billie K. Dragoo,Marion,Indianapolis,IN,317-218-0650,https://www.repucare.com/
"Rewire Renew Inspire Coaching & Consulting, LLC",2029-01-30 00:00:00,MWBE,Consultant,"Personal, Professional, Executive Coaching Personal and Professional Consulting Public Motivational Speaking Professional & Leadership Development Training/Facilitation Health & Wellness Consulting/Facilitation",Nicole Dean,Jefferson,Louisville,KY,502-909-8564,https://rewirerenewinspire.com/
Riley Concrete Pumping LLC,2027-05-30 00:00:00,MBE,Contractor,"Concrete boom pumps, concrete trailer pumps, and rock slinger",George Riley,Madison,Berea,KY,859-353-7973,
"Riley Trucking, LLC",2028-04-30 00:00:00,MBE,Subcontractor,Dump trucks and road tractors with dump beds,George Riley,Madison,Berea,KY,859-353-7973,
"Roberts Ventures, LLC",2028-10-30 00:00:00,WBE,Contractor,"Cleaning, restoration, and construction",Julie Roberts,Laurel,London,KY,606-877-2160,servpro9229.com
Rosa Mosaic & Tile Company,2026-08-30 00:00:00,WBE,Subcontractor,"Installation of terrazzo, tile, natural & engineered stone",Anna Tatman,Jefferson,Louisville,KY,502-368-5893,https://rosamosaic.com/
"Rose International, Inc.",2027-05-30 00:00:00,MWBE,Professional Services,"IT Staffing (PMs, BAs, Business Sys Analyst, SAP, .Net, Tandberg, QA, Security, Helpdesk, Unix and more), non-IT staffing (admin/clerical, engineering, financial, management, managerial, professional technical and telecomm), call center, Named Resource Program (Payroll), Enterprise Workforce Group, Application Development, Operations Support, Database Performance Optimization, Project Management and PMI Training",Himanshu Bhatia/Teri Slade,,Chesterfield,MO,636-812-4000,https://www.roseint.com/index.html
"Rosemont Cleaning, LLC",2029-01-30 00:00:00,WBE,Subcontractor,"Post-construction cleaning services, final clean, rough clean, job site maintenance cleaning, construction dust removal, floor care & scrape/clean, window cleaning (interior and exterior), debris removal, turnover cleaning for commercial facilities, multi-family, retail, grocery and new construction",Shannon Howard,Fayette,Lexington,KY,859-410-4528,
"Royal Crane Service, Inc. ",2026-10-30 00:00:00,MBE,Supplier/Distributor,Crane rental with or without an operator ,"John Mooncotch, Jr. ",Cook,Markham,IL,708-974-032,https://www.royalcrane.us/
"Ruach Consulting & Advisory, Inc.",2027-10-30 00:00:00,MWBE,Professional Services,Organizational and administrative management services,Deidra Gay,,Duluth,GA,404-668-6353,https://www.ruachconsulting.com/
"S & M Precast, Inc.",2027-12-30 00:00:00,WBE,Manufacturer,Manufacturer of precast concrete products,Becky Ann Graf,Clark,Memphis,IN,812-786-0985,https://www.smprecast.net/
S and D Construction Management Inc.,2028-05-30 00:00:00,MBE ,Contractor,"General contracting services for commercial entities, small bridge repair, construction cleanup, concrete, sidewalks, carpentry & any construction - related services ",D. Sean Edwards,Fayette,Lexington,KY ,859-226-0083,
"S.A.M.M Trucking & Excavating, Inc.  ",2026-10-30 00:00:00,MBE,Contractor,"Excavation, mass grading, sanitary sewer, storm sewer, water main installation & services, and trucking",Stephen Harris,Warrick,Newburgh,IN,812-459-4802,
"Safework, Inc. dba SafeworkCM",2026-08-30 00:00:00,WBE,Professional Services,"Construction management, inspection, safety, and disaster recovery services",Rebecca Jones,Orange,Irvine,CA,213-507-8384,https://www.safeworkcm.com/
"Sallie's Wholesale & Construction, Inc. ",2026-10-30 00:00:00,MWBE,Supplier/Distributor,"Wholesale building/highway materials, paint, window, door, insulation, steel, architectural, sealants & light contracting",Sallie J. Sylvester,Richland,Mansfield,OH,419-295-0114,https://www.sallieswholesale.com/
"SavvyChic Design, LLC dba EmpowrSoft",2027-07-30 00:00:00,MWBE,Professional Services,"CRM, SAAS Software as a Service Website Design and Development Graphic and Brand Design Marketing Service.",Joanna Sherrow,Scott,Georgetown,KY,859-325-1195,https://empowrsoft.com/
SBTL Partners LLC dba Environment and Archaeology,2027-03-30 00:00:00,WBE,Consultant,"Environmental consulting including waterbody and wetland field surveys, reporting, and Federal, state, and local permitting. Archaeological consulting including Phase I, II, and III field surveys, and Section 106 reporting. Architectural consulting including structure assessments and reporting. Environmental inspection of active and post-construction work sites",Sharon Brown,Boone,Florence,KY,859-746-1778,http://www.environment-archaeology.com/
"Scalene Software, LLC",2027-04-30 00:00:00,MBE,Professional Services,Software development and software consulting,Ketan Amin,Campbell,Fort Thomas,KY,513-907-1288,https://www.scalene-software.com/
"Schmidt Associates, Inc. dba Waypoint Strategies",2028-04-30 00:00:00,WBE,Professional Services,"Architecture, engineering, energy optimization, site services, construction administration and interior design services",Sarah Hempstead,,Indianapolis,IN,IN: 317-263-6226 KY: 502-581-0042,https://schmidt-arch.com/
"Schnell Contractors, Inc.",2027-12-30 00:00:00,WBE,Contractor,"Waterproofing, sealants & concrete/masonry restoration",Laura Schnell,Jefferson,Louisville,KY,502-969-7534,https://schnellcontractors.com/
"Schwarz Construction, LLC",2027-06-30 00:00:00,MWBE,Contractor,"Outside & exterior roofing & windows, siding, gutters & masonry",Karen Townes Schwarz,Boone,Florence,KY,513-646-0589,www.schwarzroofing.com
"SecurCash Products, LLC",2026-04-30 00:00:00,WBE,Supplier/Distributor,"Cash handling & control products; paper, inking, toner & plastic bags",Linda Miller,Jefferson,Louisville,KY,866-353-5979,https://securcashproducts.com/
"Sensabaugh Design & Construction, LLC",2027-02-28 00:00:00,WBE,Contractor,"General construction; excavation, site work, asphalt, concrete, steel building erection, full service general contractor",Angela Sensabaugh,Garrard,Berea,KY,859-358-6386,https://sensabaughdesignandconstruction.com/
"Sensori Safety, LLC",2027-05-30 00:00:00,MBE,Other ,"Risk management software, and Environmental, Health, and Safety data consulting services",Anthony Mudd,Jefferson,Louisville,KY,502-403-8249,https://www.sensorisafety.com/
"Sensuous Lash Studio, LLC",2028-07-30 00:00:00,MWBE,Retail,Retail sales of luxury eyelashes and personal care products in vending machines and sales of sunglasses and jewelry,Sharon Laverne Wimberly,Jefferson,Louisville,KY,502-333-2074,https://sensuouslashstudio.com/
"Sentry X Security, LLC",2026-05-30 00:00:00,MBE,Other ,"Private security, event security, and dignitary security",Jonathan M. Haywood,Jefferson,Louisville,KY,502-475-1808,https://sentryxsecurity.com/
"Seven Seas Technologies, Inc. dba S2Tech",2027-03-30 00:00:00,MBE,Other ,"Integration services, system support services, website development, quality services, training services & staff augmentation",Dayakar Veerlapati,St. Louis,Chesterfield,MO,314-276-7832,https://www.s2tech.com/
"Sharp-Hornek Bookkeeping Services, Inc.",2026-06-30 00:00:00,WBE,Consultant,"Bookkeeping, notary, Quick Books consulting & set up, taxes",Mary R. Hornek,Jefferson,Louisville,KY,502-593-1206,https://www.shbsi.com/
"Shaw Secure Solutions, LLC",2029-02-28 00:00:00,WBE,Professional Services,Security services & patrol officers,Benjamin and DeeAnna Shaw,Jefferson,Louisville,KY,502-544-8890,https://shawsecures.com/
"Shen, Milsom, & Wilke, LLC",2027-05-30 00:00:00,MBE,Consultant,"Specialty engineering consultancy in acoustics, audio visual, information technology, physical security and medical equipment planning",Tom Shen,,New York,NY,212-725-6800,https://www.smwllc.com/
"Shrewsberry & Associates, LLC",2026-12-30 00:00:00,MBE,Professional Services,"Civil engineering, environmental consulting, construction administration & inspection",William Shrewsberry,Jefferson,Indianapolis & Prospect,In & KY,502-416-1053,https://www.shrewsusa.com/
"Shuckman's Fish Co. & Smokery, Inc.",2026-05-30 00:00:00,WBE,Manufacturer,"Smoked fish, seafood dips & spreads; pimento & beer cheeses",Vicki Shannon Shuckman,Jefferson,Louisville,KY,502-775-6478,https://kysmokedfish.com/
Sign & Stamp LLC DBA DD Fingerprinting & Lab Services,2028-01-30 00:00:00,MWBE,Professional Services,"Drug testing, finger printing, phlebotomy, and notary services.",Demetria Sheckles,Jefferson,Louisville,KY,502-716-0230,https://www.ddfingerprintingandlabservices.com/
"Sign Language Network, Inc. dba Sign Language Network of KY",2028-01-30 00:00:00,WBE,Professional Services,Sign language and spoken language interpreting and document translation,Connie Meck,Fayette,Lexington,KY,859-629-8084,https://slnofky.com/
"Singleton Road Boring, Inc. ",2026-05-30 00:00:00,WBE,Subcontractor,Bore & jack steel casings underneath state & federal highways for all types of utility lines,Angela Singleton,Pulaski,Burnside,KY,606-872-4142,https://singletonroadboring.com/
SITEK Incorporated ,2028-08-30 00:00:00,MBE,Professional Services,"Custom Software development, Staffing",GaneshBabu Sivagurunathan,Fayette,Lexington,KY,859-327-3331,http://www.siteksolutions.com/ 
"Skip's Defense Solutions, LLC",2028-10-30 00:00:00,MBE,Retail,Firearms and explosives sales,KeOliver Ryon 'Skip' McCall,Jefferson,Louisville,KY,502-931-3172,https://www.skipsdefensesolutions.com
"Sky Roofing, LLC",2027-05-30 00:00:00,MBE,Contractor,"Residential and commercial roofing installation, maintenance, and repairs",Alan Cerdas & Jairo Jinesta (Owners) & Christina Byers (Office Manager),,Goodlettsville,TN,615-535-9722,https://skyroofing-us.com/
"SL Consulting Solutions, LLC",2026-08-30 00:00:00,MWBE,Consultant,"Project management, operations, facilities, strategic planning and facilitation, technology, budgeting, finance accounting, process improvement, leadership training, auditing, business analysis, human resources, recruiting, management, funding sources and cash flow analysis including expediting cash receipts faster.",Stephanie Lackey,Jefferson,Louisville,KY,502-235-6459,https://www.mpruv-u.org/ 
"Smith & Associates Counseling, PLLC",2028-07-30 00:00:00,MWBE,Professional Services,Mental and behavioral health services,Nina Smith,Jefferson,Louisville,KY,502-907-2408,
"Smith Solutions, LLC",2026-08-30 00:00:00,WBE,Consultant,"Consulting, project management, and development services in the affordable housing industry",Danielle Smith,Marion,Indianapolis,IN,612-236-6107,https://www.smithsolved.com/
"Smofitness, LLC",2027-07-30 00:00:00,WBE,Professional Services,"Online fitness and nutrition program,  personal training in person, and custom meal plans",Valerie Smorol,Fayette,Lexington,KY,859-494-1934,https://www.trimbootcamp.org/
"Sol Developments, LLC dba Sol design + consulting",2027-03-30 00:00:00,MBE,Professional Services,"Green building certifications, LEED for homes (Provider QAD & Green Rater), energy performance analysis, energy audit, sustainability-integrated architecture",Sanyog Rathod,Hamilton,Cincinnati,OH,513-455-8228,https://solconsults.com/
"Solid Light, Inc.",2026-08-30 00:00:00,WBE,Other ,"Design and build of visitor experiences that engage, enlighten and inspire.  Our services include master planning, feasibility studies, site evaluations, operational proformas, project management, architectural coordination, concept visualization, design, immersive and interactive media design and production, post-production, shop drawings, exhibit fabrication, and installation",Cynthia Torp Jones,Jefferson,Louisville,KY,502-562-0060,https://solidlight-inc.com/
"Solid Platforms, Inc.",2028-07-30 00:00:00,WBE,Contractor,Scaffold and carpentry services,Susan Lammertin,,Portage,IN,219-405-0908,https://www.solidplatforms.com/
"Something Major Home Improvement, LLC dba Something Major Construction Services, LLC",2028-01-30 00:00:00,MWBE,Contractor,"Consulting and project management of site improvements, remodels, and renovations, installation of flooring and drywall, cleaning and removal of debris from property/project, and lawn care maintenance",DeAnna Bell,Jefferson,Louisville,KY,502-240-7702,
"Southern Trades, Inc.",2026-07-30 00:00:00,WBE,Subcontractor,"Steel erection, heavy rigging, stadium seating, welding, custom metal fabrication,  miscellaneous steel, structural steel, full service millwright, emergency repair, material handling solutions, exotic welding, machinery moving installation, custom maintenance programs & industrial maintenance",Mona Hagen,Jefferson,Louisville,KY,502-448-3445,https://www.southerntradesinc.com/
"Sowful Blessings, LLC dba Cultured Remedy, LLC",2028-04-30 00:00:00,MWBE,Manufacturer,"Manufacturing and distributing dried spices, seasoning mixes, and herbal blends for food preparation, and virtual clearinghouse of resources, strategies, webinars, and other digital technologies for the intercultural development of healthcare systems, providers, and patients",Jitana Benton-Lee,Fayette,Lexington,KY,859-230-9464,https://sowfulblessings.com/
"Spray-Tec, Inc.",2027-04-30 00:00:00,WBE,Contractor,"Commercial roofing, spray applied roofing systems, and commercial roof repairs and maintenance, restoration, replacement and new construction",Kay Jordan,Shelby,Shelbyville,KY,502-633-5499,https://spray-tec.com/
"Springfield Plumbing, Inc.",2029-04-30 00:00:00,MBE,Contractor,Plumbing installation; Design Build,Robert A. Springfield Jr.,Jefferson,Louisville,KY,502-587-8281,https://springfieldplumbingi.com/
"St. Regis Culvert, Inc.",2026-07-30 00:00:00,WBE,Manufacturer,"Manufacture steel drainage products and resell snow plow, grader & construction blades",Jennifer Turner,Eaton,Charlotte,MI,800-527-4604,https://stregisculvert.com/
Star Staffing Solutions Incorporated,2026-12-30 00:00:00,MWBE,Other ,"Temporary, temp to hire and direct hire employees",Sonia Rico,Jefferson,Louisville,KY,502-907-5061,https://www.starstaffingsolution.com/
"Stella Scrub Wear, LLC",2027-03-30 00:00:00,MWBE,Retail,Sales of medical scrubs to all healthcare and medical employees,Tymisha Robinson,Jefferson,Louisville,KY,502-509-3072,https://www.stellascrubwear.com/
"Strategic Communications, LLC",2026-12-30 00:00:00,MWBE,Other ,"Value added reseller and provider of IT, A/V infrastructure, collaboration & security services",Stella K. Mills,Jefferson,Louisville,KY,502-493-7234,https://www.yourstrategic.com/
"Strategic Evaluation Insights, LLC dba Strategic Evaluation Insights",2029-01-30 00:00:00,WBE,Consultant,"Research studies, program evaluation and strategic planning for nonprofits in the social science and education sectors",Leslie Taylor,Jefferson,Prospect,KY,502-802-5864,https://www.strategicevaluationinsights.com/
"Styles Enterprises, LLC dba On Time Trucking, LLC   ",2026-10-30 00:00:00,MWBE,Other,Transportation of general freight and commodities,Darien Styles,Jefferson,Fisherville,KY,502-794-6868,
"Summers Grading Service, LLC",2029-04-30 00:00:00,WBE,Subcontractor,"Erosion control such as seeding, sod, silt fence and straw blowing, and landscaping services such as installing trees and shrubs",Heather Summers,,Charlestown,IN,812-246-4839,https://summersgrading.com/
"Superior Technologies, LLC",2026-12-30 00:00:00,WBE,Contractor,Horizontal directional boring,Jennifer Filiatreau,Nelson,Bardstown,KY,502-827-1713,https://superior-technologies.com/
S-Walk Inc. dba Seven Seas Construction,2029-04-30 00:00:00,MBE,Contractor,"MSE walls, sanitary sewers, culverts, bridge repair, extensive decorative streetscape concrete, flatwork, pavers, permeable pavers",Soran R. Walker,Jefferson,Louisville,KY,502-231-7395,https://sevenseasconstruction.net/
"Sydney Jones VA, LLC dba Sydney Jones",2029-04-30 00:00:00,WBE,Professional Services,"Digital marketing services including: email marketing, social media marketing, content creation, web design, and marketing strategies",Sydney Jones,Bell,Pineville,KY,606-269-4455,
"Synergy Disaster Recovery, LLC",2028-04-30 00:00:00,WBE,Professional Services,Federal grant management services and disaster planning consulting,Bethany Duart,Boulder,Boulder,CO,954-817-7441,https://synergy-dr.com/
"System Support Associates, LLC ",2028-02-28 00:00:00,MBE,Consultant,"Computer network services, computer consulting, system management, supply computer equipment & peripherals  ",Eric Shen,Campbell,Newport,KY,859-212-0550,https://www.sys-sup.com/
"T.E.M. Group, Inc",2027-12-30 00:00:00,MBE,Subcontractor,Electrical Construction ,Thomas Masterson,Jefferson,Louisville,KY,502-454-0101,http://www.temgroupinc.com/
"Tanisha's Mobile Bookkeeping Service, LLC ",2026-05-30 00:00:00,MWBE,Professional Services,"Bookkeeping, payroll & tax preparation",Tanisha D. Durrett,Jefferson,Louisville,KY,502-939-0200,https://tanishasmobilebookkeeping.com/
TCJ Financial Services LLC,2029-04-30 00:00:00,MWBE,Professional Services,"Mobile notary and loan signing services, real estate transaction support (deeds, affidavits, power of attorney, trust documents, and related filings), property management and administrative support services, small business consulting and advisory services",Tiffany Shumake,Jefferson,Louisville,KY,502-415-2334,https://tiffsnotary.com/
"Teache, LLC",2029-04-30 00:00:00,MWBE,Professional Services,"Professional human resources consulting and training development services for public and private sector organizations. Work includes developing HR policies, compliance documentation, onboarding and workforce training materials, as well as designing and building instructional content and learning programs focused on employee development, client engagement, workplace communication, and organizational effectiveness. Services are delivered through scalable, LMS-compatible format.",Christian Colbert,,Columbus,OH,614-540-3123,https://www.teachepro.com/
Tech Smart Solutions LLC,2027-05-30 00:00:00,MBE,Professional Services,"Information technology services, information technology staffing, consulting organizations providing professional resources",Vikram Odedara,,Edison,NJ,551-253-0415,https://tssus.net/
"Tekton Construction, LLC",2028-04-30 00:00:00,MBE,Contractor,General contracting,James Joseph Isaacs,Jessamine,Nicholasville,KY,859-514-0000,https://tekton-builder.com/
"That Should Be a Thing, LLC dba EcoReliant",2029-04-30 00:00:00,WBE,Consultant,Environmental consulting,Kari Wallover,Fayette,Lexington,KY,859-813-2699,https://www.ecoreliant.com/
"The Baddest Stitch, LLC",2026-12-30 00:00:00,MWBE,Retail,"e-commerce store that offers women's clothing, accessories and custom-made clothing",Michelle Miller,Jefferson,Louisville,KY,502-309-9671,https://www.thebaddeststitch.com/
"The Burkins Financial Group, LLC",2026-05-30 00:00:00,MBE,Consultant,"Operational advice and assistance to businesses on administrative management issues such as financial planning and budgeting, equity, and asset management",Ronald L. Burkins,Henderson,Henderson,KY,270-454-9890,https://burkinsfinancial.com/
"The CAM Company, LLC",2028-10-30 00:00:00,MWBE,Broker,Safety hi-vis workwear and PPE supplier,Lynn Cameron,,Westerville,OH,614-402-2831,https://www.thecamcompany.com/
"The Consumer Management Group, LLC",2028-04-30 00:00:00,MWBE,Consultant,"Safety training including environmental, health, and safety services; general management services; debris management implementation operational project management facilities maintenance oversight pre-OSHA compliance; post-OSHA compliance audits/inspections, silica testing hearing conservation, testing, emergency evacuation procedures",Verlaine Lynn, Warren,Bowling Green,KY,270-935-5001,https://www.consumermanagementgroup.com/
"The Dabbu Group, LLC",2026-05-30 00:00:00,MBE,Retail," Alcohol, food, pool and state Keno activities",Ram Paladugu,Campbell,Wilder,KY,(859) 261-7555,www.bamboozgrill.com 
"The Décor Group of Northern KY, Inc.",2026-05-30 00:00:00,WBE,Contractor,"Landscaping, lawn maintenance, interior & exterior holiday decorating & landscape lighting  design & installation",Karralea Stickrod-List,Boone,Hebron,KY,859-586-4784,https://decorgroupnky.com/
"The Delish Dish, LLC",2028-04-30 00:00:00,WBE,Other ,"Full service catering and event planning, jams and jellies manufacturing",Mavis Linnemann-Clark,Kenton,Covington,KY,859-250-0881,https://delishdishcincy.com/
"The Dove Healing Center, LLC",2027-10-30 00:00:00,MWBE,Professional Services,Behavioral health services,LaTeisha Benson,Warren,Bowling Green,KY,270-599-0847,https://www.dovehealingcenter.com/
"The Junction Agency, LLC ",2026-08-30 00:00:00,MWBE,Other ,"360 degree photobooth services, event production services, photo booth services, and accessories",Tiffani Collins,Jefferson,Louisville,KY,502-298-3835,https://www.junction360.net/
"The Language Professor, LLC   ",2026-08-30 00:00:00,MWBE,Professional Services,Tutoring and private tutoring services,Aurelia McNeil,Harrison,Cynthiana,KY,586-785-6150,https://www.thelanguageprofessor.com/
"The Logo Warehouse, LLC",2028-12-30 00:00:00,MWBE,Other,"Promotional products and apparel, screen-printing, embroidery, engraving, and art design services",Leah C. Scott,Jefferson,Louisville,KY,502-708-0634,https://thelogowarehouse.com/
"The Matrix Group, Inc. ",2029-05-30 00:00:00,WBE,Professional Services,Analytical Services: Demographic analysis Statistical analysis Data miningEthnographic/Observational research Field services: Field audits Interviewing Focus groups & in-depth interviews: Usability tests Qualitative Recruiting & Scheduling Participant incentivemanagement Moderating Merchandising audits Mystery shopping programs Project managementOnline research: Online surveys Recruiting for online surveys Questionnaire design,Martha Dereamer,Fayette,Lexington,KY,859-263-8177,https://www.tmgresearch.com/
"The Write Solution, LLC",2028-04-30 00:00:00,WBE,Professional Services,Public relations agency and communication,Kym Voorhees Raque,Jefferson,Louisville,KY,502-593-2329,http://www.thewritesolutionllc.com/
Thea's Bass & Biddy Kitchen L.L.C.,2027-05-30 00:00:00,MWBE,Retail,Upscale food bar and catering services made with signature seasonings and made from scratch recipes,Thea Mason,Fayette,Lexington,KY,859-490-8366,www.bassandbiddy.com
"Third Rock Consultants, LLC",2029-04-30 00:00:00,WBE,Consultant,Environmental analysis & design; environmental construction/site restoration; water quality monitoring/analysis; ecological surveys/analysis,Molly Foree,Fayette,Lexington,KY,859-977-2000,https://www.thirdrockconsultants.com/
"Tikur Solutions, LLC",2026-10-30 00:00:00,MWBE,Professional Services,"Professional Services of Owners Technical Representative, CMC project manager/project engineer augmenting and strategic planning for transition and move management",Davita Johnson,Marion,Indianapolis,IN,317-402-7994,https://tikursolutions.com/
"TLQ Vending Services, LLC",2029-05-30 00:00:00,MBE,Other ,"Vending operations, not just limited to food delivery systems, not limited to state and federal government buildings",Todd Stephens,Fayette,Lexington,KY,859-433-5023,https://www.tlq-vendingservices.com/
Tobacco Rose Farm Construction & Development Services Limited ,2027-06-30 00:00:00,WBE,Contractor,"Landscaping services, concrete work, snow plowing, silt fencing, erosion control",Shelia Baker,Fayette,Lexington,KY,859-264-9905,https://www.tobaccorose.com/
"Tomorrow's Recruiting, LLC",2028-04-30 00:00:00,MWBE,Professional Services,"Direct hire placement, HR consulting, coaching, resume writing, and sourcing",LaToya Barber,Jefferson,Louisville,KY,502-208-6986,https://www.tomorrowsrecruiting.com/
"Tomrook Steel, LLC",2027-04-30 00:00:00,WBE,Manufacturer,"Structural steel and miscellaneous steel fabrication, including stairs, mezzanines, handrails, pipe bollards, and structural steel frame work",Brooke Cecil,Nelson,Bardstown,KY,502-349-9126,https://tomrook.com/
"Toni Levy & Associates, Inc.",2026-06-30 00:00:00,MWBE,Supplier/Distributor,"Electrical & plumbing supplies; accounting, auditing, bookkeeping, CPA & tax services",Toni Levy,Jefferson,Louisville,KY,502-566-3030,http://tonilevya.com/
"Top Steele Reinforcing, Inc.",2027-03-30 00:00:00,MBE,Contractor,"Foundation, structure, and building exterior",Rogelio Cervantes Hinojosa,Boone,Walton,KY,859-803-2148,"Please provide website address, if applicable"
"Tracking Solutions, Inc.",2026-02-28 00:00:00,WBE,Professional Services,GPS & alcohol monitoring equipment for the criminal justice system,Kristen Zachary,Rutherford,Murfreesboro,TN,615-337-9367,https://www.trackingsolutionsnow.com/
"Trauma Informed Counseling Center, LLC    ",2026-10-30 00:00:00,MWBE,Professional Services,"Counseling, group therapy, trainings, and consultation",Dr. Lauren Downey,Fayette,Lexington,KY,859-213-2890,https://www.theticcoflexington.com/
"Tree of the Field, LLC",2027-05-30 00:00:00,WBE,Retail,"Skeeterlog, RediFlame Fire Logs, Fiber Flame Grillers, Pit Kit KY Bourbon Barrel Logs",Donna Robin Richmond Mason,Garrard,Paint Lick,KY,859-582-5028,https://www.treeofthefield.com/
"Tretter Financial Planning, LLC ",2028-09-30 00:00:00,WBE ,Professional Services,"Comprehensive financial planningincluding: investment management, retirement planning, tax planning, beneficiary planning,charitable giving, social security analysis, employer stock management, debt reduction strategies,cash management, education funding, and insurance needs analysis",Jessica Tretter ,Jefferson ,Louisville,KY,502-387-7123,https://www.tretterfinancialplanning.com/
Tri Citi Janitorial And Maid Service LLC,2028-01-30 00:00:00,MBE,Contractor,"Janitorial Services; and the firm’s primary services are Janitorial, carpet and upholstery cleaning, building interior and exterior cleaning, including pressure washing.",Carl Hobson,Christian,Hopkinsville,KY,270-498-5222,https://tricitijanitorial.com/
"Tri-A Solutions, LLC",2026-08-30 00:00:00,WBE,Contractor,"Form and pour concrete walls, pads, sidewalks, barn floors, and feed pads",Teresa Flaugher,Pendleton,Butler,KY,859-322-4578,https://tri-a.net/
"Tri-State Plastics, Inc.",2028-07-30 00:00:00,WBE,Manufacturer,High performance plastics machined and fabricated,Lisa Schneider,Kenton,Latonia,KY,859-655-8200,https://www.tristateplastics.com/
Tsubaki Group LLC,2029-01-30 00:00:00,MWBE,Contractor,"Residential construction, infill development, property rehabilitation, and project management",Blanca Cheung,Jessamine,Nicholasville,KY,859-913-3150,
TT Investment Corp,2028-01-30 00:00:00,MBE,Other ,Buying property and renovate for rental properties,Antonio Goins,Jefferson,Louisville,KY,502-287-2290,
